filename,map,duration_s,players,shape,usable
lmctf-2022-05-16-lmctf21-21.37.dm2,lmctf21,395.0,10,client(human),True
lmctf-2022-05-16-lmctf32-21.08.dm2,lmctf32,370.6,10,client(human),True
lmctf-2022-05-16-lmctf32-21.14.dm2,lmctf32,1368.1,10,client(human),True
lmctf-2022-05-16-lmctf44-21.43.dm2,lmctf44,150.9,9,client(human),False
lmctf-2022-05-16-lmctf44-21.46.dm2,lmctf44,1363.0,7,client(human),True
lmctf-2022-05-16-xmap20-20.37.dm2,xmap20,345.3,10,client(human),True
lmctf-2022-05-16-xmap20-20.43.dm2,xmap20,1473.1,10,client(human),True
lmctf-2022-06-13-lmctf03-20.48.dm2,lmctf03,92.5,7,client(human),False
lmctf-2022-06-13-lmctf04-21.28.dm2,lmctf04,10.7,1,client(human),False
lmctf-2022-06-13-lmctf22-20.49.dm2,lmctf22,993.2,9,client(human),True
lmctf-2022-06-13-lmctf52-20.40.dm2,lmctf52,480.0,8,client(human),True
lmctf-2022-06-13-smap26-21.06.dm2,smap26,40.3,5,client(human),False
lmctf-2022-06-13-smap33-21.07.dm2,smap33,1281.5,7,client(human),True
lmctf-2023-10-03-lmctf01-20.01.dm2,lmctf01,2.6,0,client(human),False
lmctf-2023-10-03-lmctf09-20.45.dm2,lmctf09,208.3,6,client(human),False
lmctf-2023-10-03-lmctf15-20.01.dm2,lmctf15,71.9,1,client(human),False
lmctf-2023-10-03-lmctf16-20.26.dm2,lmctf16,70.2,3,client(human),False
lmctf-2023-10-03-lmctf18-20.44.dm2,lmctf18,32.6,1,client(human),False
lmctf-2023-10-03-lmctf20-21.09.dm2,lmctf20,7.4,2,client(human),False
lmctf-2023-10-03-lmctf21-21.29.dm2,lmctf21,38.6,6,client(human),False
lmctf-2023-10-03-lmctf47-20.27.dm2,lmctf47,1013.2,8,client(human),True
lmctf-2023-10-03-lmctf63-21.09.dm2,lmctf63,65.0,8,client(human),False
lmctf-2023-10-03-lmctf63-21.10.dm2,lmctf63,1159.5,7,client(human),True
lmctf-2023-10-03-lmctf76-20.48.dm2,lmctf76,1225.1,9,client(human),True
lmctf-2023-10-03-smap30-21.30.dm2,smap30,1002.7,8,client(human),True
